date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:17:28	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/fontawesome-webfont3295.eot	(from http://kpens.us/wp-content/themes/shapely/inc/css/font-awesome.min.css?ver=4.8)
07:17:28	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/fontawesome-webfontd41d.eot	(from http://kpens.us/wp-content/themes/shapely/inc/css/font-awesome.min.css?ver=4.8)
07:17:29	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:28%20GMT	http://kpens.us/wp-content/uploads/2017/07/12328251_930868693694871_313621736_n.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/12328251_930868693694871_313621736_n.jpg	(from http://kpens.us/)
07:17:32	509738/509738	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jul%202017%2010:06:14%20GMT	http://kpens.us/wp-content/uploads/2017/07/skateshop2.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/skateshop2.jpg	(from http://kpens.us/)
07:17:33	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:32%20GMT	http://kpens.us/wp-content/uploads/2017/07/13408981_542622592613990_2105241882_n.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/13408981_542622592613990_2105241882_n.jpg	(from http://kpens.us/)
07:17:39	66624/66624	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/fontawesome-webfont3295.woff2	(from http://kpens.us/wp-content/themes/shapely/inc/css/font-awesome.min.css?ver=4.8)
07:17:41	365616/365616	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/fontawesome-webfont3295.svg	(from http://kpens.us/wp-content/themes/shapely/inc/css/font-awesome.min.css?ver=4.8)
07:17:42	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:41%20GMT	http://kpens.us/wp-content/uploads/2017/07/Element-logo.png	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/element-logo.png	(from http://kpens.us/)
07:17:42	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:42%20GMT	http://kpens.us/wp-content/uploads/2017/07/Brand-Logo-Sticker-Small_large.png	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/brand-logo-sticker-small_large.png	(from http://kpens.us/)
07:17:43	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:43%20GMT	http://kpens.us/wp-content/uploads/2017/07/dgk_logo_2.png	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/dgk_logo_2.png	(from http://kpens.us/)
07:17:44	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:43%20GMT	http://kpens.us/wp-content/uploads/2017/07/lhm2jhpxu3tllqfnper6.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/lhm2jhpxu3tllqfnper6.jpg	(from http://kpens.us/)
07:17:44	83588/83588	---M--	200	added ('OK')	application/font-woff	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/fontawesome-webfont3295.woff	(from http://kpens.us/wp-content/themes/shapely/inc/css/font-awesome.min.css?ver=4.8)
07:17:44	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:44%20GMT	http://kpens.us/wp-content/uploads/2017/07/girl-skateboards-500x500.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/girl-skateboards-500x500.jpg	(from http://kpens.us/)
07:17:44	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:44%20GMT	http://kpens.us/wp-content/uploads/2017/07/Plan_B_-_Logo_26_Name_Logo__79079.1326397592.380.380.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/plan_b_-_logo_26_name_logo__79079.1326397592.380.380.jpg	(from http://kpens.us/)
07:17:45	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:44%20GMT	http://kpens.us/wp-content/uploads/2017/07/logo-odyssey.png	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/logo-odyssey.png	(from http://kpens.us/)
07:17:45	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:44%20GMT	http://kpens.us/wp-content/uploads/2017/07/b743e994c13d1ec383822ba9547d70c3.jpg	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/b743e994c13d1ec383822ba9547d70c3.jpg	(from http://kpens.us/)
07:17:46	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:45%20GMT	http://kpens.us/wp-content/themes/shapely/js/navigation.js?ver=20120206	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/navigation11a8.js	(from http://kpens.us/)
07:17:46	4976/4976	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/js/owl-carousel/owl.video.play.png	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/owl.video.play.png	(from http://kpens.us/wp-content/themes/shapely/js/owl-carousel/owl.carousel.min.css?ver=4.8)
07:17:46	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:46%20GMT	http://kpens.us/wp-content/themes/shapely/js/skip-link-focus-fix.js?ver=20160115	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/skip-link-focus-fix146f.js	(from http://kpens.us/)
